Lumpini Place Phahol - Saphankhwai,"
161 Thanon Pradiphat, Khwaeng Samsen Nai, Khet Phaya Thai
","65,30,29.5,66.35,35,35,30,30,30,30,65,65,35,65,30,30,30,29,65,65","20,000,12,000,12,000,25,000,13,000,13,000,12,000,10,000,12,000,11,000,20,000,25,000,15,000,20,000,12,000,12,000,11,000,13,000,24,000,23,25k"
Ideo Phaholyothin Chatujak,"
1639/80 Thanon Phahon Yothin, Khwaeng Samsen Nai, Khet Phaya Thai
","47,28,35,33,52,61,27.66,34.7,47,27.62,35,35.18,35,35,35.18,47,47,25,47,45","28,000,15,000,22,000,22,000,45,000,28,000,16,000,23,000,30,000,16,000,22,000,25,500,18,000,18,000,25,500,30,000,30,000,15,000,30,000,43,000"
Haven Phaholyothin,"
Soi Phong Si Chan 2, Samsen Nai, Phaya Thai, Bangkok 10400
","45.99,56,65,42,42,42,42","16,000,28,000,35,000,14,000,15,000,15,000,15,000"
Ideo Mix Phaholyothin,"
1639/1 Thanon Phahon Yothin, Khwaeng Samsen Nai, Khet Phaya Thai
","31,30,38,38,38,58,39,33,38,38.87,32,38,–,43,31,38,38,31.5,38,32","15,000,16,500,23,000,16,000,18,000,30,000,18,000,14,000,17,000,20,000,15,000,18,000,17,000,18,000,16,000,17,000,17,000,15,000,18,000,16,000"
Harmony Living Paholyothin 11,"
Soi Sena Ruam, Samsen Nai, Phaya Thai, Bangkok 10400
","97.77,95.83,90,95,60,93,60,59,382,84,60,85,96,96,96,95,93,93,84,93,93","37,000,40,000,55,000,40,000,22,000,35,000,22,000,22,000,130,000,35,000,22,23k,30,45k,32,000,45,000,40,000,50,000,35,000,35,000,35,000,35,000"
Family Town,"
Soi Inthamara 29, Lane 1, Khwaeng Samsen Nai, Khet Phaya Thai
","38,39,38,38,30","9,000,8,490,9,900,10,000,5,500"
Haven Luxe,"
144 Soi Inthamara, Khwaeng Samsen Nai, Khet Phaya Thai
","35,44,43.3,37.5,43","12,000,20,000,17,000,13,900,18,000"
FYNN Aree,"
50 Soi Ari 2, Khwaeng Samsen Nai, Khet Phaya Thai
","31.5,32,47,47,33,32,33,47,32,47,28,33,47,45,27,47,33,32,32,31","23,000,24,000,32,000,32,000,23,000,24,000,25,000,35,000,24,000,37,000,20,23k,29,000,35,000,20,000,35,000,23,000,19,000,22,000,24,000"
El Presidente Apartment,"
94/2 Soi Ari Samphan 1, Khwaeng Samsen Nai, Khet Phaya Thai
","70,125,130","20,000,32,000,31,995"
Green Peace Mansion,"
Soi Ruam Mit, Samsen Nai, Phaya Thai, Bangkok 10400
","179,179,150,179","35,000,25,000,30,000,25,000"
Diamond Park,"
Soi Loi Ma, Samsen Nai, Phaya Thai, Bangkok 10400
",75,"11,000"
Chavana Place,"
Soi Ari 4, Khwaeng Samsen Nai, Khet Phaya Thai
",,
Express Home,"
Soi Satsana, Samsen Nai, Phaya Thai, Bangkok 10400
",,
Chatuchak Condominium,"
Soi Pradiphat 23, Khwaeng Samsen Nai, Khet Phaya Thai
",,
Family Complex,"
76-82 Soi Chuen Yaem, Khwaeng Samsen Nai, Khet Phaya Thai
",,
D'Rouvre Condominium,"
Soi Phahon Yothin 2, Khwaeng Samsen Nai, Khet Phaya Thai
","87,62,50,88.68,51,86,48","45,000,30,000,22,000,40,000,25,000,60,000,25,000"
Chateau In Town Phaholyothin 14 - 2,"
Soi, Khwaeng Samsen Nai, Khet Phaya Thai
",,
D’MEMORIA,"
47 Soi Sai Lom, Khwaeng Samsen Nai, Khet Phaya Thai
","45,37.87,36.15,38,35.65,46,35.65,78,45,45,145,47,59,60,36,40,60,37,37.34,37.34","20,000,18,000,18,000,18,000,19,000,18,000,19,000,45,000,28,000,28,000,70,000,19,000,25,000,25,000,18,000,17,000,25,000,18,000,20,000,20,000"
Chateau In Town Phaholyothin 14,"
Soi Supharat, Samsen Nai, Phaya Thai, Bangkok 10400
","42,29.23,32","15,000,12,000,12,500"
Chateau In Town Phaholyothin 11,"
Soi Sena Ruam, Samsen Nai, Phaya Thai, Bangkok 10400
","45,45,45,38.5,45,45,45,60,45,44,45,60,30","17,000,16,000,18,000,15,000,18,000,28,000,25,000,25,000,22,000,17,20k,25,000,13,000"
Baxtor Paholyothin 14,"
Soi Phong Si Chan 2, Samsen Nai, Phaya Thai, Bangkok 10400
","69,50,94,110","35,000,23,000,35,45k"
Centric Place Ari 4 - Phaholyothin,"
11 Soi Ari 4 Nua, Khwaeng Samsen Nai, Khet Phaya Thai
","75,40,31,40,53,75,75,75,75,53,76.5,40,53,75,78,53,78,75","35,000,26,500,22,000,26,500,22,000,30,000,38,000,35,000,38,000,16,000,29,000,15,20k,26,000,30,000,18,000,30,000,26,000"
Centric Scene Phaholyothin 9,"
8 Soi Si Fa, Khwaeng Samsen Nai, Khet Phaya Thai
","48,91,56,56,60,60,49,56,60,47,59,48,59,60,58,70,39,60,59,71,84,71,56,34","18,000,35,000,25,000,20,000,22,000,25,000,18,000,25,000,25,000,20,25k,25,000,25,000,22,000,30,000,18,25k,25,000,30,32k,25,000,20,000,19,000"
Centric Scene Aree 2,"
Soi Ari 2, Samsen Nai, Phaya Thai, Bangkok 10400
","46,53,70.5,46,86.29,86.25,121.51,88,121,86,46.7,85,39,90,121,121,84,46.39,46.7,126","24,000,23,000,45,000,24,000,42,000,35,000,60,000,38,000,57,000,40,000,25,000,32,000,19,000,37,000,57,000,57,000,38,000,23,000,25,000,45,000"
Baan Yoswadi,"
Soi, Khwaeng Samsen Nai, Khet Phaya Thai
",,
Bangkok Patio,"
23 Soi Phahonyothin 1, Khwaeng Samsen Nai, Khet Phaya Thai
",,
C&C 29 Condo,"
52 Inthamara 29 Alley, Lane 1, Khwaeng Samsen Nai, Khet Phaya Thai
",,
Baan Rajakhru Apartment,"
59/1 Soi Phahon Yothin 5, Khwaeng Samsen Nai, Khet Phaya Thai
","125,120","45,000,40,000"
Baan Sukpaibul,"
Soi, Khwaeng Samsen Nai, Khet Phaya Thai
",,
Centric Ari Station,"
52 Soi Ari 1, Khwaeng Samsen Nai, Khet Phaya Thai
","40,31,55,40,33.7,40,33.7,40,31,29,31,55,60.83,33,31,33,30,31,35,40,35,40","26,500,25,000,38,000,26,500,22,000,28,000,22,000,26,500,24,000,18,22k,30,39k,22,000,25,000,23,000,17,000,24,000,25,000,26,500,20,000,26,500"
Baan Penphol,"
Soi Ari 3, Samsen Nai, Phaya Thai, Bangkok 10400
",,
Baan Praram 6,"
Rama VI Soi 34, Khwaeng Samsen Nai, Khet Phaya Thai
",,
Baan Phaholyothin Place,"
Phahon Yothin Place Plaza Building, Khwaeng Samsen Nai, Khet Phaya Thai
","178,68.6,84,135,42,55,70,175,32,42","55,000,30,000,25,000,35,000,17,18k,18,500,58,000,12,000,30,000"
Baan Nueng,"
41 Soi Ari 5, Khwaeng Samsen Nai, Khet Phaya Thai
",56,"30,000"
Ari Samphan Place,"
5 Soi Ari Samphan 7, Khwaeng Samsen Nai, Khet Phaya Thai
",,
Baan Areesamphan,"
6 Rama VI Soi 30, Khwaeng Samsen Nai, Khet Phaya Thai
",,
Baan Kanchanakom,"
132-134 Phahonyothin Rd, Khwaeng Samsen Nai, Khet Phaya Thai
",,
Atrium Phahol - Suthisarn,"
Soi Phong Si Chan 2, Samsen Nai, Phaya Thai, Bangkok 10400
",30.28,"12,000"
Areesamphan Park,"
75/1 ซอย อารีย์สัมพันธ์ 1 Khwaeng Samsen Nai, Khet Phaya Thai
",27,"17,000"
AMF Condominium,"
Suttnisan Vinichai 3, Samsen Nai, Phaya Thai, Bangkok 10400
",,
Adamas Phahonyotin,"
Soi Ari 4, Samsen Nai, Phaya Thai, Bangkok 10400
","400,400,400,30,30","100,000,100,000,120,000,11,000,11,000"
UTD Apartments Sukhumvit Hotel & Residence,"
426/21 Soi On Nut 6, Khwaeng Suan Luang, Khet Suan Luang
",,
Whizdom @ Punnawithi Station,"
Soi Phong Wet Anuson 1, Bang Chak, Phra Khanong, Bangkok 10260
","45,48,35,48,35,36,48,38,44.5,30,63,35,35,48,36,63,42.5,48,36,36","14,500,18,000,13,000,16,000,13,000,15,000,15,000,15,000,15,000,15,000,23,000,13,000,12,000,16,000,15,000,23,000,28,000,18,000,10,000,14,500"
Unity Tower,"
Soi Phuttha Withi 2, Bang Chak, Phra Khanong, Bangkok 10260
",59,"9,500"
Whizdom 101,"
3079 Sukhumvit Rd, Khwaeng Bang Chak, Khet Phra Khanong
","29,35,33.1,33,29.5,38.7,29.8,29.6,29.8,30,29,50,35,29,50,34.26,28,36,30,29","17,000,14,000,25,000,22,000,17,000,25,000,25,000,25,000,25,000,16,000,15,000,34,000,21,000,25,000,34,000,22,000,16,500,21,000,17,500,16,000"
Tree Condo Sukhumvit 52,"
Sukhumvit 52, Bang Chak, Phra Khanong, Bangkok 10260
","59,81,81,81,54,81,81,62,55,83,81,97,62,57,59,26,44,81,44,84","22,000,33,000,32,000,32,000,24,000,32,000,35,000,25,000,25,000,30,000,32,000,28,000,25,000,19,000,20,000,17,000,18,000,35,000,16,000,32,000"
Whizdom Connect Sukhumvit,"
3079 Sukhumvit Rd, Khwaeng Bang Chak, Khet Phra Khanong
","30,28,28.31,40,29,29,40,27.14,28,28,29.6,29,30,27,30,26,29,39,29.5,29,29","15,000,14,000,17,000,25,000,16,000,16,000,21,000,15,000,16,000,15,500,17,001,16,900,16,500,15,17k,16,500,16,000,22,000,21,000,18,000,15,000"
Tree Condo LUXE Sukhumvit 52,"
11/2 Sukhumvit 52, Khwaeng Bang Chak, Khet Phra Khanong
","74,75.5,48,48,52,59,75,75,56,61,51,75,78,59,60,53,75,78,55,55.5,75,75.5","38,000,30,000,22,000,22,000,22,000,25,000,38,000,35,000,21,24k,18,000,32,000,28,000,21,000,22,000,20,35k,31,000,25,000,25,000,32,000,30,000"
Aree Place Phahonyothin,"
Soi Ari 2, Samsen Nai, Phaya Thai, Bangkok 10400
","45,45,45,46,75,44,35,105,30,80,43,45,99,80,43,47","15,000,15,000,15,000,15,000,25,000,14,000,29,000,40,000,14,000,28,000,15,000,15,000,25,000,27,000,14,16k"
The Willows Park,"
1824 Sukhumvit 58 Alley, Khwaeng Bang Chak, Khet Phra Khanong
","33,46","14,000,18,000"
The Unique Sukhumvit 62/1,"
134 Soi Sukhumvit 62/1, Khwaeng Bang Chak, Khet Phra Khanong
","125,135,135,135,135,55,33,125,33.6,33.5,34,33.64,67.19,95.57,55","60,000,75,000,76,000,75,000,75,000,27,000,13,000,65,000,15,000,15,000,13,500,15,000,35,000,75,000,27,000"
The Tropical Condominium,"
35 Soi Phuang Phen, Khwaeng Suan Luang, Khet Suan Luang
","108,82,28,111.5,32.56,32.85","70,000,55,000,7,000,34,000,7,500,8,490"
The Tree Sukhumvit 64,"
93 Soi Phong Wet Anuson, Khwaeng Bang Chak, Khet Phra Khanong
","33,33,33,25,33,33,44,35,33,33,29,40,40,29,29,41.51,39.4,28","13,000,14,000,14,000,15,000,13,000,13,000,19,000,12,500,14,000,13,000,11,900,16,000,17,000,11,900,11,900,20,000,17,000,18,000"
The Room Sukhumvit 64,"
Soi Phong Wet Anuson, Bang Chak, Phra Khanong, Bangkok 10260
","41,42,42,40,45,42,40,42,45,42,42,86,42,40","20,000,18,000,16,000,12,20k,15,000,16,000,15,000,18,000,20,000,18,000,32,000,16,000,16,000"
The Series Udomsuk,"
12 Udom Suk 29, Khwaeng Bang Chak, Khet Phra Khanong
","35,35,44.45,48.76,34.78,34.78,36,44","15,000,15,000,15,000,21,000,12,000,12,000,12,000,14,000"
The Residence Sukhumvit 52,"
11/2 Sukhumvit 52, Khwaeng Bang Chak, Khet Phra Khanong
","35,35,35,35,35,68,35,35,99,226,99,34,71,34","13,000,15,000,17,000,18,000,20,000,35,700,18,000,16,000,60,000,170,000,55,250,18,000,25,000,18,000"
The Privacy S101,"
410 Punna Withi 16 Alley, Khwaeng Bang Chak, Khet Phra Khanong
",,
The Tree Onnut Station,"
40 Soi Sukhumvit 54, Khwaeng Bang Chak, Khet Phra Khanong
","28,26.25,26,28,42,42,28,26,28,26,26,26,26,26,26,28,26,36,26,28","12,000,12,000,13,500,15,500,24,000,19,000,10,500,13,500,15,000,14,000,15,000,16,000,15,000,16,000,17,000,14,000,15,000,13,000,15,000,15,000"
The Nest Sukhumvit 64,"
139 Soi Sukhumvit 64, Khwaeng Bang Chak, Khet Phra Khanong
","29,41.62,24.32,29,29,28.8,49,24.32,28.8,41.62,27,29.99,31.85,29,29.08,32.5,28.54,28.65,29,28.5,28.5,26","10,000,18,000,10,000,11,000,12,000,24,000,10,000,13,000,18,000,12,000,13,000,14,000,11,000,12,000,13,000,11,000,13,000,13,000,13,000,11,000"
The Room Sukhumvit 62,"
Thanon Sukhumvit, Bang Chak, Phra Khanong, Bangkok 10260
","75,76,75,78,45,75,45,45,43,45,88,45,86,45,45,45,76,45,76,76","42,000,35,000,31,000,38,000,20,23k,45,000,22,000,20,000,22,000,18,000,42,000,19,000,40,000,22,000,18,000,20,000,37,000,20,000,37,000,45,000"
The Next Garden Suite,"
Sukhumvit 52 Alley, Bang Chak, Phra Khanong, Bangkok 10260
","52,50,74,42,44,30,52,53,53,52,53,42,45,45,52,80,52,43,80,42","18,000,15,000,28,000,18,000,16,000,12,000,18,000,17,000,16,500,16,000,17,000,18,000,17,000,18,000,18,000,40,000,17,000,14,000,40,000,15,000"
The President Sukhumvit,"
Soi Siri Phot, Bang Chak, Phra Khanong, Bangkok 10260
","35,35,37,37,35,35,47,35,46,35,35,35,35,35,46,35,35,35,35,260","13,500,14,000,17,000,17,000,16,000,20,000,22,500,16,000,23,500,19,000,20,000,16,000,19,000,20,000,22,000,15,000,18,000,17,000,15,000,65,000"
The Next Sukhumvit 52,"
Sukhumvit 52, Bang Chak, Phra Khanong, Bangkok 10260
","40,47,50,40.38,50,40,40,48.42,52,48.42,80,43,50,40,42,40.4,50,53,40.4,49","17,000,17,000,20,000,15,000,20,000,17,000,16,000,18,000,17,000,18,000,38,000,15,000,20,000,18,000,16,000,15,000,20,000,20,000,17,000,15,000"
The Log @ Sukhumvit 101/1,"
Soi Prawit Lae Phuean, Bang Chak, Phra Khanong, Bangkok 10260
",41,"8,000"
The Matt Sukhumvit 101/1,"
ซอย ถนน สุขุมวิท 101/1 Khwaeng Bang Chak, Khet Phra Khanong
",,
The Muse,"
45/24 Sukhumvit Road, Khwaeng Bang Chak, Khet Phra Khanong
","80,60,61,61,61,80,61,61,80,60,60,61,80,64,65,84,68,61,61,61","23,000,18,000,20,000,20,000,20,000,29,000,20,000,20,000,29,000,20,000,20,000,20,000,29,000,19,000,17,000,27,500,17,000,20,000,20,000,20,000"
The Next Garden Mix,"
11/2 Sukhumvit 52, Khwaeng Bang Chak, Khet Phra Khanong
","58.4,58,40,44,49,40,47,40,47,65,58,47.1,58,47","20,000,27,000,17,000,15,000,17,000,16,000,13,500,16,000,18,000,20,000,20,000,15,500,28,000,15,000"
The Living Tower Sukhumvit 64/1,"
65 Soi Sukhumvit 64/1, Khwaeng Bang Chak, Khet Phra Khanong
",62,"12,000"
The Log 3,"
195,197 Soi Udom Suk 51, Khwaeng Bang Chak, Khet Phra Khanong
","28,28,28,28,28,28,28,28,28,30,29,28,28,28,29.3,28,28,28","8,000,6,500,7,000,7,000,6,500,7,500,6,000,8,000,8,000,5,800,6,500,7,000,7,000,12,000,8,000,8,000,8,500,7,000"
The Green 3 @ Sukhumvit 101,"
Soi Phuangwas, Bang Chak, Phra Khanong, Bangkok 10260
","32,32","9,500,11,998"
The Green,"
Soi Sathit Phatthana 2, Khwaeng Bang Chak, Khet Phra Khanong
","71.8,25,33.89,34.38,33.95,34.17,26,26.91,34,34.01,72,73","18,500,9,000,21,000,21,000,21,424,23,000,18,000,20,000,19,500,20,000,22,000,18,000"
The Link Vano Sukhumvit 64,"
93 Soi Phong Wet Anuson, Khwaeng Bang Chak, Khet Phra Khanong
","63,31,60,39,36.4,31,31","23,000,12,500,23,000,11,500,13,000,10,000,10,000"
The Line sukhumvit 101,"
3007/3 Sukhumvit Rd, Khwaeng Bang Chak, Khet Phra Khanong
","32.75,27,32.75,32.25,33.25,27,33,33,28,47.25,27.43,33,47.25,32.5,40.75,45.26,61.25,27.51,32.89,47.25","18,000,17,000,22,000,21,000,22,000,15,000,22,000,22,000,20,000,29,000,15,000,21,000,33,000,22,000,25,000,27,000,43,000,15,000,22,000,31,000"
The Green 2 @ Sukhumvit 101,"
Punna Withi 47, Bang Chak, Phra Khanong, Bangkok 10260
","33,39.4","8,000,7,500"
TKF Condo,"
กส. Soi Sukhumvit 52, Khwaeng Bang Chak, Khet Phra Khanong
","49,64,64","15,000,32,000,26,28k"
The Link Sukhumvit 64,"
Soi Phong Wet Anuson, Bang Chak, Phra Khanong, Bangkok 10260
","72.22,31.41,60,35,53,72,35,70,36,72.22,34","32,000,10,000,40,000,10,000,18,000,25,000,11,000,22,000,12,000,32,000,12,000"
The Escape,"
Wat Thung, Bang Chak, Phra Khanong, Bangkok 10260
","54,52,59,61,26.52,43.11,42,40","13,500,15,000,15,000,18,500,7,500,9,500,9,000,10,000"
The Light New York,"
61-77 Soi Rong Rian Phong Wet Anuson 1, Khwaeng Bang Chak, Khet Phra Khanong
","41.02,28.17,29,41,28,29,40,29,30,29,29,42,29,29,29,42,29,29,29","19,000,14,000,11,000,17,000,15,000,12,000,15,000,10,000,9,000,10,500,10,000,16,000,10,000,10,500,10,000,25,000,11,000,12,000,10,000"
The Excel Udomsuk,"
30 Soi Udom Suk 29, Khwaeng Bang Chak, Khet Phra Khanong
","23,23,28","7,500,9,000,8,500"
Sukhumvit Garden Place,"
Soi Punna Withi 31, Khwaeng Bang Chak, Khet Phra Khanong
",,
Siripoj Mansion,"
192 ซอย สุขุมวิท 81 Khwaeng Bang Chak, Khet Phra Khanong
",,
Symphony Sukhumvit,"
Thanon Sukhumvit, Bang Chak, Phra Khanong, Bangkok 10260
","35,81.64,64,46,46,64,50,35,35,35,64,46,45,45,35,95,45","14,000,26,000,25,000,17,000,17,000,25,000,17,500,15,000,13,000,16,000,26,000,15,000,15,000,15,000,14,500,33,000,16,000"
Sukhumvit 81 Mansion,"
381 Soi Chinnamat, Khwaeng Suan Luang, Khet Suan Luang
",,
SUK@SUKHUMVIT 56,"
75/23 Soi Sukhumvit 56, Khwaeng Bang Chak, Khet Phra Khanong
",,
Sari by Sansiri,"
93 Soi Phong Wet Anuson, Khwaeng Bang Chak, Khet Phra Khanong
","46.5,47,40.7,45,42.05,45,47,37,37,77.6,47.5,37,47,30,57.94,57.9,77.27,42.05,42.05,47,65,65","19,500,15,500,13,500,21,000,17,500,20,22k,13,000,16,000,25,000,25,000,17,000,18,000,15,000,30,000,30,32k,20,000,20,000,17,500,35,000,30,000"
Residence 52,"
49 Sukhumvit 52, Khwaeng Bang Chak, Khet Phra Khanong
","63,35,70,34,35,35,99.1,35,70,74,66,37,35,32,70,86.72,99.1,67.72,59.11,86.72,62.98","27,000,14,000,31,000,14,000,14,000,16,000,55,000,15,000,31,000,24,000,29,500,14,500,18,000,12,000,31,000,44,52k,35,000,28,000,46,000,29,000"
Regent Home Sukhumvit 97/1,"
200 Sukhumvit 97/1 Alley, Khwaeng Bang Chak, Khet Phra Khanong
","28,28,26,28,28,32,28,28,28,28,28,28,28,28.74,28,29,28,28,28,–","9,500,9,000,9,000,9,000,8,500,8,500,9,000,9,500,9,500,9,500,9,500,9,500,9,500,9,500,8,500,9,000,9,500,9,500,8,500,9,500"
Regent Home 9 Sukhumvit 64,"
Rong Rian Phong Wet Anuson 1, Bang Chak, Phra Khanong, Bangkok 10260
","31,62","7,500,16,000"
Regent Orchid Sukhumvit 101,"
315-349 Soi Punna Withi, Khwaeng Bang Chak, Khet Phra Khanong
","28,28,28,28,28,33,31,28,28,28,28,29,28,28,30,28,29,28,28,28","12,000,10,500,11,000,11,000,11,000,13,000,11,000,9,000,9,500,8,000,9,000,9,500,9,500,8,000,9,500,9,000,12,000,10,000,8,500,10,000"
Regent Home 4,"
Soi Phueng Mi 1, Khwaeng Bang Chak, Khet Phra Khanong
","63,25,63,60,30,30,60,26,31,35,30,64,31,30,33,200,–,64","20,000,15,000,18,000,18,000,8,500,8,000,17,500,13,500,8,000,8,500,8,500,16,500,7,000,7,500,8,000,10,000,10,000,16,500"
Siamese Sukhumvit 87,"
25-35 Sukhumvit Rd, Khwaeng Bang Chak, Khet Phra Khanong
",,
Regent Home 19 Sukhumvit 93,"
Sukhumvit 93, Bang Chak, Phra Khanong, Bangkok 10260
","30,31,31,31,31,31,31,31,31,31,31,31,32,31,30,31.2,31,31,31,31","7,500,9,000,8,500,8,500,8,000,8,500,8,000,9,000,8,500,8,500,8,000,8,000,8,500,7,990,9,000,9,000,9,500,9,000,6,500,11,000"
Regent Home Sukhumvit 81,"
767 ซอย สุขุมวิท 77 Khwaeng Suan Luang, Khet Suan Luang
","28,28,28,28,28,28,28,28,28,30,28,28,28,28,28,28,28,28,26,28","9,000,10,999,10,000,11,000,10,000,10,000,12,900,11,000,11,000,10,000,10,000,11,000,10,000,11,500,11,000,10,000,11,000,11,000,15,000,11,000"
Regent Home 22 Sukhumvit 85,"
Soi Watthanakham 2, Bang Chak, Phra Khanong, Bangkok 10260
","62,66,31,62,31,31.01,31.25,31,31,31,65,35,31,62,31,31,33,31,31,31","20,000,15,000,8,500,15,500,9,500,9,000,7,500,8,500,8,500,8,500,15,000,9,000,8,000,15,500,9,000,8,500,10,000,8,500,8,500,8,000"
Regent Home 14 Sukhumvit 93,"
17 Soi Phueng Mi 1, Khwaeng Bang Chak, Khet Phra Khanong
","28,31,28,31,31.72,32,31,31","9,000,8,000,9,000,6,500,8,600,7,500,8,000,8,000"
Quintara Arte Sukhumvit 52,"
101 Sukhumvit 52 Alley, Khwaeng Bang Chak, Khet Phra Khanong
",,
Poomsuk,"
Soi Phuttha Raksa, Suan Luang, Bangkok 10240
",,
Regent Home 13 Sukhumvit 93,"
527 Soi Sukhumvit 93, Khwaeng Bang Chak, Khet Phra Khanong
","32,31,63,64","8,000,8,000,16,000,16,000"
Quinn Sukhumvit 101,"
3053 Sukhumvit Rd, Khwaeng Bang Chak, Khet Phra Khanong
",,
PITI Sukhumvit 101,"
2997 Sukhumvit Rd, Khwaeng Bang Chak, Khet Phra Khanong
",,
KSP Condotel,"
Soi Chue Suwan 2, Khwaeng Bang Chak, Khet Phra Khanong
",,
Le Crique Sukhumvit 64/2,"
9 Sukhumvit 64/2, Khwaeng Bang Chak, Khet Phra Khanong
","31,31.49","9,000,16,000"
Mayfair Place Sukhumvit 64,"
59 Soi Sukhumvit 64, Khwaeng Bang Chak, Khet Phra Khanong
","35,36,36.7,64,35,40,36,35.5,64,64,37.7,36,38,35,47,64,37,35,35,35,34","15,000,11,500,15,000,30,000,15,18k,13,000,13,000,28,000,28,000,10,500,15,000,15,000,13,000,20,000,28,000,14,500,14,500,14,500,12,500,14,000"
My Condo Sukhumvit 52,"
Sukhumvit 52, Bang Chak, Phra Khanong, Bangkok 10260
","25,35,35,35,37,34.78,35.4,25,25,25,35.4,32,26,26,24,25,26,35.4,54,35,35","9,000,12,000,15,000,15,000,14,000,15,000,15,000,8,500,8,500,8,500,15,000,13,000,7,500,7,500,12,000,9,500,13,000,22,000,12,500,13,14k"
My Condo Sukhumvit 81,"
Soi Siri Phot, Bang Chak, Phra Khanong, Bangkok 10260
","25,25,34.81,33.4,34,34.81,34.81,35,34.81,34.59,34,33.82,36,50,35,25.42,35,25,34.81,35,25","9,000,10,000,13,000,12,15k,12,000,13,000,13,000,14,000,12,500,15,000,15,000,13,000,23,000,15,000,10,000,14,000,10,000,13,000,12,500,8,500"
Moniiq Sukhumvit 64,"
332 Soi Rong Rian Phong Wet Anuson 1, Khwaeng Bang Chak, Khet Phra Khanong
","48,32,48,28,32,28,28,33,32,29,46,28,28.25,28,28,28,31.99,28,32,28,40","22,000,17,000,19,000,15,18k,11,000,11,000,10,500,9,500,9,500,18,000,10,000,12,000,12,000,10,000,11,000,10,000,15,000,18,000,12,000,15,000"
IKON Sukhumvit 77,"
381 Soi Chinnamat, Khwaeng Suan Luang, Khet Suan Luang
","31.36,25.63,30","12,500,11,000,9,900"
Life Sukhumvit 62,"
27 Soi Sukhumvit 62, Khwaeng Bang Chak, Khet Phra Khanong
","38,25,30,26,25,43,35,30,38,38,30,40,26,40,30,32,50,26,38,38","19,000,13,500,15,000,17,000,15,000,17,500,19,000,20,000,20,000,17,000,20,000,17,000,14,000,20,000,16,000,19,000,28,500,13,500,20,000,19,000"
Ideo Sukhumvit 93,"
2317 Sukhumvit Rd, Khwaeng Bang Chak, Khet Phra Khanong
","51,27,27,52,34.46,35,34,31,34,52,26,35,58,57,58,28,32,34,32.5,57.5","25,000,15,000,13,000,27,000,22,000,22,000,20,000,23,000,20,000,36,000,15,000,21,500,36,000,35,000,40,000,14,000,17,000,22,000,20,000,37,000"
HI Sukhumvit 93,"
87 Soi Mi Suk, Khwaeng Bang Chak, Khet Phra Khanong
",,
HUE Sukhumvit,"
Soi Sukhumvit 62/3, Khwaeng Bang Chak, Khet Phra Khanong
","35,35,31.4,27,31.43,32,27,31.4,32,32,26,41,32,26.09,27,31","15,000,15,000,15,000,15,000,13,000,14,000,12,000,15,000,12,000,15,000,10,17k,12,000,10,000,13,000,14,000"
Flat Phongsai,"
843 ซอย สุขุมวิท 77 Khwaeng Suan Luang, Khet Suan Luang
",,
Chateau in Town Sukhumvit 64/1,"
28 Soi Watthana Sombat, Khwaeng Bang Chak, Khet Phra Khanong
","40,60,60,30,31,42,31,30,30,30,43.01","18,000,25,000,25,000,12,000,13,000,18,000,12,000,12,000,12,000,10,12k,20,000"
Eastwood Park,"
80 Soi On Nut 36, Khwaeng Suan Luang, Khet Suan Luang
","65,65,65","11,000,11,000,12,000"
Elio Condo,"
115 Soi Sukhumvit 64, Khwaeng Bang Chak, Khet Phra Khanong
","30,22,21.5,26,22,22,21,22,30,22,24.22,34,26.4,26.53,21,26,26.46,34,21,34,24.5","10,000,9,000,7,500,11,000,8,000,7,700,8,000,8,000,12,000,9,000,10,000,15,000,10,000,11,000,15,000,12,000,14,000,7,500,12,000,10,000"
Chateau in Town Sukhumvit 64,"
300 Sukhumvit 64, Khwaeng Bang Chak, Khet Phra Khanong
","28,28,31","10,000,12,000,13,000"
Ideo Mobi Sukhumvit,"
2105 Sukhumvit Rd, Khwaeng Bang Chak, Khet Phra Khanong
","30,60,44,–,44,30.52,45,22,21,24,21.5,30,47,22,24,21.5,31,43,60,62.5","18,000,32,000,30,000,25,000,22,000,17,000,27,000,13,000,13,000,13,500,15,000,17,000,25,000,10,000,13,500,13,000,18,000,30,000,50,000,35,000"
Chateau In Town Sukhumvit 62/1,"
Soi U Rotme Khao, Bang Chak, Phra Khanong, Bangkok 10260
","30,50,30,31,32,30,30,30,34,30,30,28","9,000,22,000,14,000,11,000,14,000,10,000,13,000,13,000,13,000,14,000,14,000,10,000"
Casa Condo Sukhumvit 97,"
Soi Sukhumvit 97, Khwaeng Bang Chak, Khet Phra Khanong
","26,24,35,35,35,35,35,37,35,26,35,27,26,26,36,28","9,500,9,000,12,000,10,000,13,000,15,000,12,000,25,000,16,000,9,500,12,500,10,000,9,500,9,990,12,000,10,900"
Elio Del Ray,"
207 Sukhumvit 64, Khwaeng Bang Chak, Khet Phra Khanong
","34,45,45,34,24,34,34,31.01,45,47,24,24,26,45,47,47,24,26,26,34","13,000,22,000,17,000,10,000,8,500,15,000,13,000,13,500,22,000,28,000,9,500,8,500,13,000,17,000,28,000,28,000,8,500,9,000,10,000,11,000"
Boonpitak Condominium,"
381 Soi Chinnamat, Khwaeng Suan Luang, Khet Suan Luang
",,
